1,ЛУКОЙЛ,LKOH,14.43,4465.5,-31.9%,1050.0
2,ГАЗПРОМ ао,GAZP,12.33,243.22,-29.1%,51.03
3,Сбербанк,SBER,11.96,135.2,-53.9%,0
4,ГМКНорНик,GMKN,7.93,16472,-27.8%,1523.2
5,Новатэк ао,NVTK,6.33,1161,-32.5%,43.77
6,Yandex clA,YNDX,5.68,2060,-54.2%,0
7,Роснефть,ROSN,3.82,373.65,-37.5%,23.63
8,Магнит ао,MGNT,3.25,5455,+0.2%,251.33
9,TCS-гдр,TCSG,2.8,2786,-54.1%,0
10,Татнфт 3ао,TATN,2.64,435.5,-12.8%,9.98
11,ФосАгро ао,PHOR,2.28,7728,+32.4%,780.0
12,Полюс,PLZL,2.09,8135,-37.6%,0
13,Сургнфгз,SNGS,2.01,26.38,-33.6%,0.8
14,МТС-ао,MTSS,1.79,238.3,-20.1%,33.85
15,АЛРОСА ао,ALRS,1.57,73.73,-39.8%,12.3
16,Сургнфгз-п,SNGS,1.43,29.05,-24.4%,0.8
17,СевСт-ао,CHMF,1.31,773.6,-51.8%,0
18,FIVE-гдр,FIVE,1.29,1334.5,-31.7%,0
19,НЛМК ао,NLMK,1.29,116.22,-46.6%,0
20,Polymetal,POLY,1.2,404,-69.2%,0
21,МосБиржа,MOEX,1.19,94.39,-38.4%,0
22,РУСАЛ ао,RUAL,1.16,49.11,-33.5%,0
23,Сбербанк-п,SBER,1.1,128.78,-53.8%,0
24,ИнтерРАОао,IRAO,0.97,3.222,-24.7%,0.236583
25,ПИК ао,PIKK,0.95,755.8,-31.8%,22.51
26,ВТБ ао,VTBR,0.8,0.0197,-59.1%,0
27,РусГидро,HYDR,0.73,0.7852,+5.9%,0.0530494
28,OZON-адр,OZON,0.69,1388,-39.1%,0
29,ММК,MAGN,0.56,28.68,-58.7%,2.663
30,Татнфт 3ап,TATN,0.53,405.3,-11.9%,9.98
31,Транснф ап,TRNFP,0.51,100600,-36.5%,10497.4
32,Ростел -ао,RTKM,0.5,60,-31.2%,4.56
33,VK-гдр,VKCO,0.44,433.6,-50.1%,0
34,ЭН+ГРУП ао,ENPG,0.41,540,-39.0%,0
35,Система ао,AFKS,0.39,14.762,-37.0%,0
36,FIXP-гдр,FIXP,0.37,373.8,-31.2%,0
37,МКБ ао,CBOM,0.36,5.916,-13.6%,0
38,GLTR-гдр,GLTR,0.32,349.05,-45.9%,0
39,ДетскийМир,DSKY,0.3,83.08,-33.4%,7.0
40,Аэрофлот,AFLT,0.27,30.42,-48.4%,0
41,iHHRU-адр,HHR,0.04,1347,-64.9%,64.23
